0000e52f851b4306b0c4243fcfa5d9ef|de stiermer stoung eendeiteg am abseits.
00010b2fe6c842112233440c752c049f|an der vakanz hunn ech d'klappluede frësch ugestrach.
0006485c685acec081569083717a6b0a|meng bomi huet fréier alt emol en zigarillo gefëmmt.
000abe4693b1f5ea390ce3d0384d8ec6|nomade wandere mat hirem véi dohin, wou et eppes ze friesse fënnt.
000acd1203fe149631ce6ec64e35a414|de staat encouragéiert jonk leit, hir eegen entreprise ze grënnen.
000d72418e2cd06998d1fa8b34c4b47a|wäsch d'wonn uerdentlech aus, ier s de se desinfizéiers!
000de0c8922099aad221e336d859ac05|ech hunn der ëmmer getraut, mee mat deem rot do hues de mech schéin ugeschmiert!
000ea31d4ebd389369a56d4cbf754b66|d'opklärung ass och haut nach fir vill elteren e schwieregt theema.
0011342c312233842d0a8448bdf0b7b4|meng schwëster huet hiert kleed selwer gebutt.
0014c47c0e141da02309b7ea09f7aaff|mer hu mam auto sechs stonne gebraucht, awer mer haten och vill stau ënnerwee.
0015d5a7e1c83f3fea1a9da52e5c2e49|dee komiker ass bekannt fir seng subtil wuertspiller.
001622bed5376ce86830632b707fc371|un der verdauung sinn eng rei biocheemesch virgäng bedeelegt.
0016755e736613a91b5cd79c7635c6f4|dat ass en ongeschriwwent gesetz!
001755d4bca9ebe3a3748eca54e6eb7a|gëff dech, soss flätschen ech der eng!
00179b8dc4cfb5902ec74c5b6f543cdd|ech wunnen op der cap.
001a7ea6a2b7b0f659e7da617404eacf|wéi vill mol muss ech der dat nach soen, ier s de et bekäpps!
001ef8f462d2f992c162e9e4d738a43d|et ass irresponsabel, mat glate pneuen ze fueren.
001f3344dc1b036ac48e03c57cdfb707|et ass wichteg, eng vulgariséiert fassung vun deem dokument ze hunn.
00213be794919cf77cdf53e32bec6577|vun elauter spannung halen d'spectateuren den otem un.
0022b3bdca64ff1b1f47d4f4b9eb84e7|den hielenner gëtt fir d'éischt rout an da schwaarz.
0023ff6b1dd838827f18e77e96e19b8d|den nationalkommitee huet och no deem virfall nach ëmmer vertrauen an d'parteicheffin.
00279c744d7ed00afb8914c9847943df|de conservatoire bitt och coursë fir chouerdirigenten un.
002917d962177c3ae42a8bfff6aeae46|mir falen d'lueden zou!
00292b0f5f7b580c2361c6d80ec8c336|ech fueren d'nächst woch an europa.
0029a87f750ae8ffca5a2faa0692a0d8|mir hunn haut am cours iwwer d'seejomesse geschwat.
002a0bc19852261aa94bbd4c160910ab|dat ass eng kniwweleg affär, wat solle mer do nëmme maachen?
002b7c9aac0742aebb94e652db34842a|ech hu mer d'box un engem nol opgerappt.
002c33e2e526cc64a7f4cf39edffe2fe|dee babbeler kann näischt fir sech behalen.
002ec2cd72f1d6b01bab9d4085947fbb|ech kommen net un d'saachen uewen am schaf.
